region,indicator,method,year,point,lo80,hi80
Ahafo,tfr_15_49,BayesHier,2025,3.951,3.319,4.726
Ahafo,tfr_15_49,BayesHier,2030,3.753,3.114,4.464
Ashanti,tfr_15_49,BayesHier,2025,3.226,2.724,3.825
Ashanti,tfr_15_49,BayesHier,2030,2.964,2.474,3.599
Bono,tfr_15_49,BayesHier,2025,3.779,3.155,4.461
Bono,tfr_15_49,BayesHier,2030,3.499,2.927,4.242
Bono East,tfr_15_49,BayesHier,2025,4.086,3.447,4.843
Bono East,tfr_15_49,BayesHier,2030,3.914,3.259,4.684
Central,tfr_15_49,BayesHier,2025,3.667,3.08,4.384
Central,tfr_15_49,BayesHier,2030,3.411,2.817,4.128
Eastern,tfr_15_49,BayesHier,2025,3.181,2.693,3.803
Eastern,tfr_15_49,BayesHier,2030,2.972,2.452,3.571
Greater Accra,tfr_15_49,BayesHier,2025,2.614,2.173,3.116
Greater Accra,tfr_15_49,BayesHier,2030,2.498,2.072,2.989
North East,tfr_15_49,BayesHier,2025,6.408,5.381,7.569
North East,tfr_15_49,BayesHier,2030,6.387,5.228,7.613
Northern,tfr_15_49,BayesHier,2025,6.043,5.102,7.142
Northern,tfr_15_49,BayesHier,2030,5.89,4.93,7.145
Oti,tfr_15_49,BayesHier,2025,3.92,3.331,4.72
Oti,tfr_15_49,BayesHier,2030,3.765,3.136,4.518
Savannah,tfr_15_49,BayesHier,2025,6.103,5.116,7.27
Savannah,tfr_15_49,BayesHier,2030,6.007,4.997,7.218
Upper East,tfr_15_49,BayesHier,2025,4.026,3.368,4.792
Upper East,tfr_15_49,BayesHier,2030,3.848,3.174,4.621
Upper West,tfr_15_49,BayesHier,2025,4.174,3.503,4.964
Upper West,tfr_15_49,BayesHier,2030,3.952,3.29,4.732
Volta,tfr_15_49,BayesHier,2025,3.333,2.802,3.974
Volta,tfr_15_49,BayesHier,2030,3.08,2.564,3.695
Western,tfr_15_49,BayesHier,2025,3.424,2.884,4.061
Western,tfr_15_49,BayesHier,2030,3.204,2.67,3.882
Western North,tfr_15_49,BayesHier,2025,3.517,2.941,4.177
Western North,tfr_15_49,BayesHier,2030,3.267,2.717,3.936
Ahafo,asfr_15_19,LeeCarter,2025,57.607,47.595,69.299
Ahafo,asfr_15_19,LeeCarter,2030,53.133,38.283,71.777
Ashanti,asfr_15_19,LeeCarter,2025,58.461,47.157,71.977
Ashanti,asfr_15_19,LeeCarter,2030,52.235,36.119,73.278
Bono,asfr_15_19,LeeCarter,2025,32.116,22.161,45.992
Bono,asfr_15_19,LeeCarter,2030,25.888,13.692,46.445
Bono East,asfr_15_19,LeeCarter,2025,89.96,77.376,104.086
Bono East,asfr_15_19,LeeCarter,2030,85.775,66.222,108.756
Central,asfr_15_19,LeeCarter,2025,56.907,45.147,71.198
Central,asfr_15_19,LeeCarter,2030,51.286,34.466,73.853
Eastern,asfr_15_19,LeeCarter,2025,60.798,51.664,71.173
Eastern,asfr_15_19,LeeCarter,2030,53.789,40.673,69.513
Greater Accra,asfr_15_19,LeeCarter,2025,38.031,24.917,57.261
Greater Accra,asfr_15_19,LeeCarter,2030,35.431,17.144,68.971
North East,asfr_15_19,LeeCarter,2025,121.488,108.406,136.665
North East,asfr_15_19,LeeCarter,2030,123.292,102.423,150.906
Northern,asfr_15_19,LeeCarter,2025,72.497,60.905,86.796
Northern,asfr_15_19,LeeCarter,2030,72.552,54.638,98.826
Oti,asfr_15_19,LeeCarter,2025,70.619,59.434,83.444
Oti,asfr_15_19,LeeCarter,2030,66.039,49.117,86.65
Savannah,asfr_15_19,LeeCarter,2025,117.455,103.352,134.051
Savannah,asfr_15_19,LeeCarter,2030,121.006,98.262,151.829
Upper East,asfr_15_19,LeeCarter,2025,68.723,63.131,74.606
Upper East,asfr_15_19,LeeCarter,2030,66.262,57.277,75.74
Upper West,asfr_15_19,LeeCarter,2025,56.807,55.876,57.722
Upper West,asfr_15_19,LeeCarter,2030,56.422,54.844,57.91
Volta,asfr_15_19,LeeCarter,2025,40.568,28.477,57.138
Volta,asfr_15_19,LeeCarter,2030,34.587,18.839,60.396
Western,asfr_15_19,LeeCarter,2025,75.314,56.6,101.17
Western,asfr_15_19,LeeCarter,2030,75.693,47.548,125.637
Western North,asfr_15_19,LeeCarter,2025,54.817,42.797,69.656
Western North,asfr_15_19,LeeCarter,2030,52.015,34.007,76.82
Ahafo,asfr_15_19,BayesHier,2025,76.335,53.127,110.852
Ahafo,asfr_15_19,BayesHier,2030,71.964,48.848,103.223
Ashanti,asfr_15_19,BayesHier,2025,52.994,37.295,75.75
Ashanti,asfr_15_19,BayesHier,2030,46.954,32.094,70.388
Bono,asfr_15_19,BayesHier,2025,65.455,44.965,92.666
Bono,asfr_15_19,BayesHier,2030,57.843,39.753,86.474
Bono East,asfr_15_19,BayesHier,2025,88.042,61.871,126.382
Bono East,asfr_15_19,BayesHier,2030,85.803,58.533,124.837
Central,asfr_15_19,BayesHier,2025,74.938,52.062,108.826
Central,asfr_15_19,BayesHier,2030,68.128,45.621,101.579
Eastern,asfr_15_19,BayesHier,2025,56.484,39.71,82.174
Eastern,asfr_15_19,BayesHier,2030,50.92,34.148,74.855
Greater Accra,asfr_15_19,BayesHier,2025,31.268,21.261,45.389
Greater Accra,asfr_15_19,BayesHier,2030,27.877,18.906,40.621
North East,asfr_15_19,BayesHier,2025,98.105,67.937,139.303
North East,asfr_15_19,BayesHier,2030,97.687,64.203,140.602
Northern,asfr_15_19,BayesHier,2025,82.944,58.388,117.63
Northern,asfr_15_19,BayesHier,2030,78.127,53.676,116.709
Oti,asfr_15_19,BayesHier,2025,74.691,52.99,109.954
Oti,asfr_15_19,BayesHier,2030,72.776,49.521,106.122
Savannah,asfr_15_19,BayesHier,2025,96.116,66.411,138.007
Savannah,asfr_15_19,BayesHier,2030,94.51,64.258,138.879
Upper East,asfr_15_19,BayesHier,2025,65.792,45.173,94.864
Upper East,asfr_15_19,BayesHier,2030,63.965,42.948,94.096
Upper West,asfr_15_19,BayesHier,2025,56.385,39.26,80.891
Upper West,asfr_15_19,BayesHier,2030,52.351,35.906,76.309
Volta,asfr_15_19,BayesHier,2025,63.809,44.656,92.085
Volta,asfr_15_19,BayesHier,2030,59.305,40.4,86.96
Western,asfr_15_19,BayesHier,2025,65.892,45.941,94.436
Western,asfr_15_19,BayesHier,2030,61.246,41.759,91.327
Western North,asfr_15_19,BayesHier,2025,60.64,41.573,86.75
Western North,asfr_15_19,BayesHier,2030,53.91,36.792,79.565
